episode_idx,time_sec,dr_E_m,dr_N_m,gt_E_m,gt_N_m,drift_m
5,32,84.94958,-57.8151,296.1372,-220.26263,266.4384
5,33,92.10787,-51.194885,300.38205,-232.22765,275.95468
5,34,101.61243,-48.302708,304.1347,-243.34077,281.16742
5,35,111.41861,-50.225418,307.95914,-255.05075,283.869
5,36,120.75175,-54.99821,311.8659,-266.86548,285.32852
5,37,130.79665,-59.557575,315.90714,-278.79053,286.93027
5,38,142.07346,-63.002205,319.81747,-290.451,288.66223
5,39,154.18274,-65.503876,323.59335,-301.88495,290.8195
5,40,166.81018,-67.59459,327.10147,-313.13275,293.22736
5,41,179.8152,-69.2109,331.06268,-324.82632,297.0102
5,42,193.42601,-70.51037,335.25723,-336.096,301.0844
5,43,207.19641,-71.72946,339.53424,-346.50635,304.98465
5,44,220.5622,-72.82737,344.32712,-358.33804,311.1818
5,45,234.3653,-73.89479,349.87762,-369.98926,317.82864
5,46,248.65215,-75.09596,356.36893,-381.05005,324.36218
5,47,263.24738,-76.364746,363.88303,-390.1289,329.50793
5,48,278.09537,-77.83096,371.61606,-397.52158,333.08887
5,49,292.8238,-79.16649,378.34296,-403.56226,335.47897
5,50,307.72574,-80.384445,384.42978,-408.16525,336.63596
5,51,322.19714,-81.24645,390.7058,-410.1183,335.9317
5,52,337.2848,-82.41985,397.3508,-409.48392,332.53394
5,53,352.52344,-84.36305,404.2454,-405.6655,325.4388
5,54,367.3133,-86.38889,410.76718,-399.05295,315.66922
5,55,381.51422,-88.38364,417.2128,-390.23965,303.95963
5,56,395.0866,-90.58641,424.05746,-380.0852,290.94476
5,57,408.61423,-92.91078,431.68256,-368.3261,276.37973
5,58,422.52747,-95.08564,440.10513,-355.12018,260.628
5,59,436.89557,-97.13468,449.09042,-340.47113,243.64185
5,60,451.526,-99.213585,458.41223,-324.60382,225.4954
6,1,0.43908903,-4.9305024,4.7170396,-10.927793,7.3667054
6,2,-1.6472688,-8.670458,9.339048,-23.098299,18.134546
6,3,-4.4992676,-10.568911,13.583889,-35.06332,30.446291
6,4,-7.431391,-10.991561,17.336538,-46.176445,43.028202
6,5,-10.233344,-9.981778,21.160984,-57.88643,57.275295
6,6,-12.990809,-7.992322,25.067743,-69.701164,72.501274
6,7,-16.262547,-5.8563695,29.109,-81.6262,88.31559
6,8,-20.4491,-3.8405104,33.019337,-93.28665,104.20886
6,9,-25.340542,-2.0216174,36.795197,-104.72063,120.033066
6,10,-30.72258,-0.259763,40.30332,-115.968414,135.76881
6,11,-36.471024,1.3679343,44.264538,-127.662,152.20695
6,12,-42.818317,2.9715464,48.459084,-138.93167,168.72488
6,13,-49.33676,4.570737,52.736076,-149.34201,184.68352
6,14,-55.459904,6.0318556,57.528957,-161.1737,201.80234
6,15,-62.011284,7.5621014,63.079487,-172.82494,219.51581
6,16,-69.02816,9.25073,69.57077,-183.88571,237.72116
6,17,-76.33191,11.030335,77.08489,-192.96457,255.24623
6,18,-83.87129,12.961197,84.817894,-200.35724,271.95734
6,19,-91.28,14.795575,91.544815,-206.39793,286.96948
6,20,-98.85575,16.600077,97.63164,-211.00092,300.68176
6,21,-106.02088,18.140648,103.90768,-212.95396,312.2094
6,22,-113.775475,19.95557,110.552635,-212.3196,322.91617
6,23,-121.65084,22.212698,117.44723,-208.50116,332.2601
6,24,-129.08711,24.418972,123.96903,-201.88863,339.48865
6,25,-135.95128,26.481121,130.41464,-193.07532,345.18954
6,26,-142.20673,28.506907,137.25931,-182.92088,350.43256
6,27,-148.4187,30.582415,144.88441,-171.16179,355.98798
6,28,-155.00049,32.671528,153.30698,-157.95584,362.48074
6,29,-162.02202,34.79705,162.29228,-143.30681,370.001
6,30,-169.29654,36.995148,171.61409,-127.43951,378.49548
